"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"5718100700","504822","12548","26 Nov 2020 09:42","42:37","2557","31-41","31,41","Dire","Team Secret","MATUMBAMAN, zai, Puppey, YapzOr, Nisha","OG","n0tail, 7ckngMad, topson, Saksa, MidOne"
"5718045399","504822","12548","26 Nov 2020 08:39","29:48","1788","12-19","12,19","Dire","Team Secret","MATUMBAMAN, zai, Puppey, YapzOr, Nisha","OG","n0tail, 7ckngMad, topson, Saksa, MidOne"
"5717987182","504762","12548","26 Nov 2020 07:43","20:03","1203","23-3","23,3","Radiant","ViKin.gg","Seleri, 27monkey, Tobi, Shad, BooM","Virtus.pro","DM, epileptick1d, ilias, Save-, gPk~"
"5717905633","504762","12548","26 Nov 2020 06:31","37:46","2266","23-11","23,11","Radiant","ViKin.gg","Seleri, 27monkey, Tobi, Shad, BooM","Virtus.pro","DM, epileptick1d, ilias, Save-, gPk~"
"5717842177","504762","12548","26 Nov 2020 05:36","23:07","1387","23-5","23,5","Radiant","Virtus.pro","DM, epileptick1d, ilias, Save-, gPk~","ViKin.gg","Seleri, 27monkey, Tobi, Shad, BooM"
"5717752241","504702","12548","26 Nov 2020 04:36","25:38","1538","8-29","8,29","Dire","Alliance","Limmp, Handsken, s4, Fng, Nikobaby","Just-_-Error","No[o]ne, Zayac, SumaiL, RAMZES666, Solo"
"5717651850","504702","12548","26 Nov 2020 03:28","39:10","2350","18-29","18,29","Dire","Just-_-Error","No[o]ne, Zayac, SumaiL, RAMZES666, Solo","Alliance","Limmp, Handsken, s4, Fng, Nikobaby"
"5717512265","504702","12548","26 Nov 2020 02:01","54:57","3297","41-34","41,34","Radiant","Just-_-Error","No[o]ne, Zayac, SumaiL, RAMZES666, Solo","Alliance","Limmp, Handsken, s4, Fng, Nikobaby"
"5717471671","504689","12508","26 Nov 2020 01:26","39:00","2340","43-23","43,23","Radiant","INK ICE","Waixi, Awen, hi~, Newbee.Y.AQ,","phoenix gaming","plAnet, 小可fans, MoPao,  cjsdie,  x1yang"
"5717412180","504689","12508","26 Nov 2020 12:41","19:35","1175","7-19","7,19","Dire","phoenix gaming","plAnet, 小可fans, MoPao,  cjsdie,  x1yang","INK ICE","Waixi, Awen, hi~, Newbee.Y.AQ,"
"5717331280","504671","12508","26 Nov 2020 11:29","26:55","1615","26-15","26,15","Radiant","LBZS","xiaofu, CatYou, Ashanti, daoko, MS","SHENZHEN","AAHard, Unknown, 可达鸭, Est, Meliodas"
"5717314281","504668","12548","26 Nov 2020 11:20","34:48","2088","16-43","16,43","Dire","Nemiga Gaming","Petru44o, Lodine, on&on, TheChosenOne, tatakae","Gambit Esports","xannii, Unknown, meLes, lorenof, XSvamp1Re"
"5717263779","504671","12508","26 Nov 2020 10:18","43:36","2616","41-25","41,25","Radiant","LBZS","xiaofu, CatYou, Ashanti, daoko, MS","SHENZHEN","AAHard, Unknown, 可达鸭, Est, Meliodas"
"5717243978","504668","12548","26 Nov 2020 10:00","47:51","2871","39-17","39,17","Radiant","Gambit Esports","xannii, Unknown, meLes, lorenof, XSvamp1Re","Nemiga Gaming","Petru44o, Lodine, on&on, TheChosenOne, tatakae"
"5717208381","504651","12508","26 Nov 2020 09:16","24:45","1485","21-3","21,3","Radiant","FTD.C.Club","JiaJia, DXM, 遥远岁月的回忆, Ty, XuAn","Forest","MAX., 梵, jsaon, forest.yogi, Break-"
"5717142748","504651","12508","26 Nov 2020 07:59","53:33","3213","36-24","36,24","Radiant","Forest","MAX., 梵, jsaon, forest.yogi, Break-","FTD.C.Club","JiaJia, DXM, 遥远岁月的回忆, Ty, XuAn"
"5716678257","504450","12548","25 Nov 2020 08:55","33:37","2017","12-36","12,36","Dire","Spider Pigzs","@LeBronDota, Mitch--, dnz , ThuG, No!ob™","Gambit Esports","xannii, Unknown, meLes, lorenof, XSvamp1Re"
"5716595675","504450","12548","25 Nov 2020 07:39","43:18","2598","28-29","28,29","Dire","Gambit Esports","xannii, Unknown, meLes, lorenof, XSvamp1Re","Spider Pigzs","@LeBronDota, Mitch--, dnz , ThuG, No!ob™"
"5716518640","504450","12548","25 Nov 2020 06:27","39:15","2355","19-37","19,37","Dire","Spider Pigzs","@LeBronDota, Mitch--, dnz , ThuG, No!ob™","Gambit Esports","xannii, Unknown, meLes, lorenof, XSvamp1Re"
"5716434900","504393","12548","25 Nov 2020 05:26","34:04","2044","38-14","38,14","Radiant","Live to Win","fn, AfterLife, SoNNeikO, dream`, Immersion","Nemiga Gaming","Petru44o, Lodine, on&on, TheChosenOne, tatakae"
"5716327707","504393","12548","25 Nov 2020 04:09","43:42","2622","29-41","29,41","Dire","Live to Win","fn, AfterLife, SoNNeikO, dream`, Immersion","Nemiga Gaming","Petru44o, Lodine, on&on, TheChosenOne, tatakae"
"5716220416","504393","12548","25 Nov 2020 03:07","33:14","1994","35-14","35,14","Radiant","Live to Win","fn, AfterLife, SoNNeikO, dream`, Immersion","Nemiga Gaming","Petru44o, Lodine, on&on, TheChosenOne, tatakae"
"5716103769","504369","12548","25 Nov 2020 02:03","18:49","1129","2-17","2,17","Dire","Team Empire","EcNart!, sayuw, Smiling Knight, gwynbleidd, KazLシ","Yellow Submarine","So bad, Miposhka, Collapse, Yatoro, no sleep until lose"
"5716093466","504365","12508","25 Nov 2020 01:48","49:33","2973","31-41","31,41","Dire","Team Magma","Tyz, KAZZ, mianmiam, 无双斗魂, ZC","Galaxy Racer Esports","kYxY, 343, Alacrity, Ghost , Destrice"
"5716016461","504369","12548","25 Nov 2020 01:01","31:51","1911","30-12","30,12","Radiant","Yellow Submarine","So bad, Miposhka, Collapse, Yatoro, no sleep until lose","Team Empire","EcNart!, sayuw, Smiling Knight, gwynbleidd, KazLシ"
"5716005656","504365","12508","25 Nov 2020 12:51","35:14","2114","32-11","32,11","Radiant","Team Magma","Tyz, KAZZ, mianmiam, 无双斗魂, ZC","Galaxy Racer Esports","kYxY, 343, Alacrity, Ghost , Destrice"
"5715912008","504350","12528","25 Nov 2020 11:35","24:45","1485","14-35","14,35","Dire","EHOME","xNova, Chalice, Xm, Sccc, Fade","PSG.LGD","y`Maxine, Faith_bian, XinQ, NothingToSay, 长亭外 古道边 芳草天"
"5715899790","504349","12508","25 Nov 2020 11:24","49:53","2993","29-39","29,39","Dire","SHENZHEN","AAHard, Unknown, 可达鸭, Est, Meliodas","Forest","MAX., 梵, jsaon, forest.yogi, Break-"
"5715871311","504350","12528","25 Nov 2020 10:58","18:28","1108","12-2","12,2","Radiant","PSG.LGD","y`Maxine, Faith_bian, XinQ, NothingToSay, 长亭外 古道边 芳草天","EHOME","xNova, Chalice, Xm, Sccc, Fade"
"5715815710","504350","12528","25 Nov 2020 10:02","30:45","1845","12-24","12,24","Dire","EHOME","xNova, Chalice, Xm, Sccc, Fade","PSG.LGD","y`Maxine, Faith_bian, XinQ, NothingToSay, 长亭外 古道边 芳草天"
"5715812564","504349","12508","25 Nov 2020 09:59","59:44","3584","35-29","35,29","Dire","Forest","MAX., 梵, jsaon, forest.yogi, Break-","SHENZHEN","AAHard, Unknown, 可达鸭, Est, Meliodas"
"5715753375","504337","12508","25 Nov 2020 08:57","24:26","1466","31-7","31,7","Radiant","Rebirth","赞美太阳, deska#K, Xyp9x, Yim, Exx","LBZS","xiaofu, CatYou, Ashanti, daoko, MS"
"5715731695","504329","12528","25 Nov 2020 08:33","24:06","1446","20-2","20,2","Radiant","EHOME","xNova, Chalice, Xm, Sccc, Fade","Team Aster","old LaNm, Xxs, Monet, BoBoKa, Angel"
"5715704104","504337","12508","25 Nov 2020 07:59","33:42","2022","22-45","22,45","Dire","LBZS","xiaofu, CatYou, Ashanti, daoko, MS","Rebirth","赞美太阳, deska#K, Xyp9x, Yim, Exx"
"5715692608","504329","12528","25 Nov 2020 07:46","22:13","1333","9-25","9,25","Dire","Team Aster","old LaNm, Xxs, Monet, BoBoKa, Angel","EHOME","xNova, Chalice, Xm, Sccc, Fade"
"5715652708","504329","12528","25 Nov 2020 06:59","24:34","1474","9-19","9,19","Dire","EHOME","xNova, Chalice, Xm, Sccc, Fade","Team Aster","old LaNm, Xxs, Monet, BoBoKa, Angel"
"5715062254","504107","12548","24 Nov 2020 06:20","37:07","2227","15-25","15,25","Dire","Gambit Esports","dyrachyo, Unknown, meLes, lorenof, XSvamp1Re","Live to Win","fn, AfterLife, SoNNeikO, dream`, Immersion"
"5714990432","504107","12548","24 Nov 2020 05:23","25:12","1512","7-18","7,18","Dire","Gambit Esports","dyrachyo, Unknown, meLes, lorenof, XSvamp1Re","Live to Win","fn, AfterLife, SoNNeikO, dream`, Immersion"
"5714897056","504064","12548","24 Nov 2020 04:23","23:14","1394","10-32","10,32","Dire","Spider Pigzs","@LeBronDota, Mitch--, dnz , ThuG, No!ob™","Ninjas in Pyjamas","Supream, Misha, Era, Charliedota, SabeRLight"
"5714776450","504064","12548","24 Nov 2020 03:12","40:13","2413","32-30","32,30","Dire","Spider Pigzs","@LeBronDota, Mitch--, dnz , ThuG, No!ob™","Ninjas in Pyjamas","okcya, Supream, Era, Charliedota, SabeRLight"
"5714658534","504046","12528","24 Nov 2020 02:12","28:44","1724","17-20","17,20","Dire","INVICTUS GAMING","Oli, JT-, kaka, Zx.little white, Emo","EHOME","xNova, Chalice, Xm, Sccc, Fade"
"5714632836","504045","12548","24 Nov 2020 02:02","28:57","1737","19-37","19,37","Dire","Winstrike Team","Yamich, Dukalis, agressive child, DkFogas, ReiBL","Yellow Submarine","So bad, Miposhka, Collapse, Yatoro, no sleep until lose"
"5714535234","504046","12528","24 Nov 2020 01:03","39:54","2394","17-30","17,30","Dire","INVICTUS GAMING","Oli, JT-, kaka, Zx.little white, Emo","EHOME","xNova, Chalice, Xm, Sccc, Fade"
"5714534506","504045","12548","24 Nov 2020 01:00","31:07","1867","26-9","26,9","Radiant","Yellow Submarine","So bad, Miposhka, Collapse, Yatoro, no sleep until lose","Winstrike Team","Yamich, Dukalis, agressive child, DkFogas, ReiBL"
"5714455589","504038","12528","24 Nov 2020 11:55","35:37","2137","26-19","26,19","Radiant","PSG.LGD","y`Maxine, Faith_bian, XinQ, NothingToSay, 长亭外 古道边 芳草天","Team Aster","old LaNm, Xxs, Monet, BoBoKa, Angel"
"5714389828","504017","12528","24 Nov 2020 10:49","44:58","2698","35-26","35,26","Radiant","PSG.LGD","y`Maxine, Faith_bian, XinQ, NothingToSay, 长亭外 古道边 芳草天","Team Aster","old LaNm, Xxs, Monet, BoBoKa, Angel"
"5714301939","504017","12528","24 Nov 2020 09:20","58:00","3480","28-26","28,26","Radiant","Team Aster","old LaNm, Xxs, Monet, BoBoKa, Angel","PSG.LGD","y`Maxine, Faith_bian, XinQ, NothingToSay, 长亭外 古道边 芳草天"
"5714243189","503992","12528","24 Nov 2020 08:06","38:26","2306","25-29","25,29","Dire","Elephant","fy, Somnus, 骑牛的, Eurus, Yang","EHOME","xNova, Chalice, Xm, Sccc, Fade"
"5714192077","503992","12528","24 Nov 2020 07:05","37:01","2221","38-12","38,12","Radiant","EHOME","xNova, Chalice, Xm, Sccc, Fade","Elephant","fy, Somnus, 骑牛的, Eurus, Yang"
"5713840064","503847","12548","23 Nov 2020 09:44","37:50","2270","15-27","15,27","Dire","Spider Pigzs","@LeBronDota, Mitch--, dnz , ThuG, No!ob™","Live to Win","fn, AfterLife, SoNNeikO, dream`, Immersion"
"5713766675","503847","12548","23 Nov 2020 08:30","38:39","2319","37-33","37,33","Radiant","Spider Pigzs","@LeBronDota, Mitch--, dnz , ThuG, No!ob™","Live to Win","fn, AfterLife, SoNNeikO, dream`, Immersion"
"5713696493","503847","12548","23 Nov 2020 07:32","25:23","1523","28-8","28,8","Radiant","Live to Win","fn, AfterLife, SoNNeikO, dream`, Immersion","Spider Pigzs","@LeBronDota, Mitch--, dnz , ThuG, No!ob™"
"5713610420","503819","12548","23 Nov 2020 06:09","34:57","2097","16-38","16,38","Dire","Winstrike Team","Yamich, Dukalis, agressive child, DkFogas, ReiBL","Team Empire","EcNart!, sayuw, Smiling Knight, gwynbleidd, KazLシ"
"5713533489","503819","12548","23 Nov 2020 05:06","30:16","1816","23-12","23,12","Radiant","Team Empire","EcNart!, sayuw, Smiling Knight, gwynbleidd, KazLシ","Winstrike Team","Yamich, Dukalis, agressive child, DkFogas, ReiBL"
