Date,Team1,Team2,Amount
03/12/2020,Team Secret,Virtus.pro,45.5
03/12/2020,Nigma,ViKin.gg,54.5
04/12/2020,Team Liquid,mudgolems,50.5
04/12/2020,Natus Vincere,ViKin.gg,47.5
04/12/2020,Virtus.pro,Alliance,49.5
04/12/2020,Ωmega Gaming,Quincy Crew,52.5
04/12/2020,EHOME,Team Magma,43.5
04/12/2020,Royal Never Give Up,Vici Gaming,43.5
04/12/2020,PSG.LGD,INVICTUS GAMING,48.5
05/12/2020,OG,Just-_-Error,56.5
05/12/2020,Team Liquid,Nigma,54.5
05/12/2020,Team Secret,Natus Vincere,49.5
06/12/2020,EHOME,Royal Never Give Up,43.5
06/12/2020,Team Magma,Vici Gaming,45.5
06/12/2020,Team Aster,Elephant,47.5
07/12/2020,EHOME,Team Aster,42.5
07/12/2020,Elephant,Royal Never Give Up,45.5
07/12/2020,Nigma,Gambit Esports,52.5
07/12/2020,Team Liquid,Spider Pigzs,48.5
07/12/2020,OG,Live to Win,53.5
07/12/2020,Just-_-Error,Yellow Submarine,49.5
08/12/2020,PSG.LGD,EHOME,48.5
08/12/2020,Vici Gaming,Elephant,49.5
08/12/2020,TNC Predator,Fnatic,47.5
08/12/2020,Alliance,Winstrike Team,48.5
08/12/2020,Team Liquid,Nigma,52.5
08/12/2020,OG,Yellow Submarine,55.5
09/12/2020,Gambit Esports,Spider Pigzs,51.5
09/12/2020,Live to Win,Just-_-Error,48.5
09/12/2020,Virtus.pro,Team Secret,49.5
09/12/2020,ViKin.gg,Natus Vincere,50.5
10/12/2020,TEAM BRASIL,beastcoast,53.5
10/12/2020,PSG.LGD,Elephant,48.5
10/12/2020,T1,Fnatic,48.5
10/12/2020,Just-_-Error,Alliance,50.5
11/12/2020,Gambit Esports,Live to Win,46.5
11/12/2020,Spider Pigzs,Alliance,48.5
11/12/2020,Team Liquid,OG,56.5
11/12/2020,Virtus.pro,ViKin.gg,46.5
12/12/2020,beastcoast,Thunder Predator,56.5
12/12/2020,TEAM BRASIL,4 Zoomers,54.5
14/12/2020,TEAM BRASIL,Thunder Predator,53.5
14/12/2020,TEAM BRASIL,Jaguares eSports,50.5
15/12/2020,beastcoast,4 Zoomers,52.5
15/12/2020,Just-_-Error,Natus Vincere,48.5
15/12/2020,Virtus.pro,OG,53.5
15/12/2020,Nigma,ViKin.gg,52.5
15/12/2020,Live to Win,Natus Vincere,47.5
15/12/2020,Alliance,mudgolems,48.5
15/12/2020,Team Magma,INVICTUS GAMING,48.5
16/12/2020,Brame,Spider Pigzs,51.5
17/12/2020,iG.Vitality,Royal Never Give Up,45.5
17/12/2020,Sparking Arrow Gaming,Team Aster,46.5
17/12/2020,TNC Predator,Fnatic,48.5
